Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,0.9527,13440,3,13
2,掠奪者任務,0.995,0.9933,10048,5,9
3,掠奪者任務,0.990,0.9527,13440,3,10
4,掠奪者任務,0.985,0.9948,7232,5,10
5,掠奪者任務,0.980,0.9793,13440,4,12
6,掠奪者任務,0.975,0.9793,13440,4,12
7,掠奪者任務,0.970,0.9793,13440,4,14
8,掠奪者任務,0.966,0.7699,13440,1,18
9,掠奪者任務,0.961,0.9959,4704,5,0
10,掠奪者任務,0.956,0.9946,7696,5,8
11,掠奪者任務,0.951,0.9948,7296,5,5
12,掠奪者任務,0.946,0.8937,13440,2,19
13,掠奪者任務,0.942,0.5370,13440,0,12
14,掠奪者任務,0.937,0.9793,13440,4,13
15,掠奪者任務,0.932,0.9943,8336,5,13
16,掠奪者任務,0.928,0.9942,8464,5,12
17,掠奪者任務,0.923,0.9793,13440,4,10
18,掠奪者任務,0.918,0.9952,6480,5,8
19,掠奪者任務,0.914,0.9910,13424,5,14
20,掠奪者任務,0.909,0.9793,13440,4,16
21,掠奪者任務,0.905,0.6892,1201,0,0
